customerid,lastname,firstname,areacode,area,birthday,age,sex,totalprice,lastorderdate
D1000163,マケテ,テモ,25,滋賀県,1932/12/10,88,1,45700,2021/8/20
B1000289,ネネ,ニセ,20,長野県,1989/8/22,32,2,43600,2021/5/7
E1000363,ホヒセテ,スノネ,39,高知県,1963/6/25,58,2,50000,2020/11/16
V1000455,カイ,ネセムコ,27,大阪府,1926/5/23,95,1,18500,2020/5/26
W1000557,ヘソニ,モム,10,群馬県,1970/11/3,51,1,36500,2020/11/2
V1000680,シフケ,トヨヘフ,28,兵庫県,1993/12/20,27,1,10600,2021/5/5
Y1000728,ノヨ,マハネ,37,香川県,1934/8/8,87,1,44119,2021/5/6
Z1000837,シスンハ,ヤソセ,15,新潟県,1976/2/10,45,2,57800,2021/1/29
J1000984,イセイ,ヌヲ,16,富山県,1997/10/4,24,1,13800,2021/8/26
U1001043,ツウ,キテオ,25,滋賀県,1996/5/7,25,1,18800,2020/2/20
Y1001136,チヲヒ,ヒハフヨ,2,青森県,1941/6/24,80,1,12300,2021/8/7
A1001295,テワ,キヘ,40,福岡県,1957/3/11,64,1,21300,2021/11/1
N1001357,キキモ,カキ,36,徳島県,1944/1/19,77,1,29370,2021/4/29
F1001454,エサメ,スメヲ,21,岐阜県,1966/11/2,55,1,50770,2021/7/20
B1001565,テワ,ヨヨ,7,福島県,1958/8/5,63,2,7976,2021/6/12
H1001696,ミホフト,ンニトヌ,25,滋賀県,1949/8/8,72,1,48400,2021/8/11
T1001784,フヲウユ,モイツワ,22,静岡県,1926/5/30,95,2,25923,2021/8/5
U1001868,スシ,ニエ,5,秋田県,1958/11/6,62,1,42700,2021/8/18
I1001954,フキソマ,ヌウ,29,奈良県,1960/7/17,61,2,60400,2020/10/13
K1002033,エケチ,アメチヌ,6,山形県,1998/12/14,22,2,76600,2021/9/30
P1002192,ウソフハ,クヌマ,41,佐賀県,1985/3/29,36,1,43200,2021/8/28
Z1002288,ヤツウス,ケケヲ,5,秋田県,1976/8/28,45,1,23161,2020/5/13
I1002398,エワ,イヨス,37,香川県,1979/3/21,42,2,100600,2021/6/11
S1002491,ヲフムカ,モミ,46,鹿児島県,1997/6/28,24,1,40893,2019/10/16
V1002533,スネシサ,ノフチ,25,滋賀県,1961/2/25,60,2,86000,2021/7/4
B1002685,ユニ,ヒウ,27,大阪府,1966/11/8,54,2,26100,2020/7/3
I1002757,マコスマ,ケアヌフ,18,福井県,1937/9/6,84,1,60379,2021/7/14
W1002811,テチエ,ヘヌケ,35,山口県,1974/3/3,47,2,38425,2021/6/3
J1002933,シノタ,チイ,46,鹿児島県,1940/4/29,81,2,78390,2020/7/31
G1003057,ナムヒホ,カワトノ,39,高知県,1990/7/25,31,2,29200,2020/5/8
G1003174,ムツネト,トマホ,27,大阪府,1961/4/2,60,2,37100,2021/8/12
I1003275,キミ,テネイ,47,沖縄県,1988/1/22,33,1,70200,2021/9/18
M1003357,オニ,ソヒマヨ,11,埼玉県,1941/3/30,80,1,43249,2020/12/21
N1003440,ミフク,ツオセエ,22,静岡県,1964/2/22,57,2,20517,2021/7/5
S1003542,チワ,ネイツ,37,香川県,1953/8/13,68,2,47720,2021/9/21
W1003610,アヤ,ツト,45,宮崎県,1999/10/24,22,2,16000,2021/10/1
L1003784,シテソス,トカウ,14,神奈川県,1933/9/16,88,2,38900,2021/4/12
F1003873,ヨヨサ,エノス,23,愛知県,1980/2/8,41,2,15820,2020/1/13
E1003983,ネチサ,ムシア,9,栃木県,1926/11/4,94,1,40800,2021/6/12
X1004096,ハワシヲ,イシ,32,島根県,1957/10/20,64,1,59000,2020/6/3
G1004147,チヌ,モワヤト,11,埼玉県,1945/1/9,76,1,58700,2021/7/2
Y1004280,テエ,ミエカケ,26,京都府,1979/11/27,41,2,61791,2021/8/27
A1004384,ノカ,ホフメ,26,京都府,1960/5/23,61,2,50500,2021/7/21
G1004419,ナヘタケ,ヲニネ,42,長崎県,2005/2/19,16,1,81400,2021/6/6
G1004528,ウキメツ,ヌキ,30,和歌山県,1999/4/30,22,1,2189,2019/10/24
W1004698,ネイア,サミタホ,30,和歌山県,1968/10/12,53,1,55400,2021/8/24
N1004715,ヨキツニ,スクキス,32,島根県,1968/7/8,53,1,24200,2021/4/13
G1004890,ユモホ,アメフ,7,福島県,1975/3/27,46,1,33500,2021/5/31
F1004945,セヨテ,ニテク,4,宮城県,1932/12/10,88,2,18253,2021/9/10
D1005030,ヘメ,ソソシ,14,神奈川県,1975/11/25,45,2,27300,2019/3/7
F1005120,メヨノケ,サカメケ,36,徳島県,1980/6/18,41,1,30882,2020/5/12
U1005265,モタカカ,ウヒノ,22,静岡県,1939/5/5,82,1,38761,2021/9/21
M1005327,ハシワカ,ユク,21,岐阜県,1957/12/20,63,1,28604,2020/10/24
F1005477,ケス,ニミカン,19,山梨県,1936/5/28,85,2,34151,2020/10/20
R1005537,ナチネ,ヨクノ,18,福井県,1983/4/3,38,2,78700,2021/7/9
N1005665,ノハヲ,ハヒアコ,21,岐阜県,1974/2/20,47,2,40900,2020/6/2
L1005718,チマカ,ユノメ,4,宮城県,1974/9/1,47,2,30803,2021/9/6
D1005892,ミクカ,オマカヤ,24,三重県,2006/8/13,15,1,25505,2021/10/18
X1005964,タトワメ,ヲワナワ,11,埼玉県,1960/9/11,61,2,20868,2020/4/30
O1006012,キク,マホチ,30,和歌山県,1938/12/3,82,2,38800,2021/9/12
Q1006168,チンソ,ンフヨ,36,徳島県,1990/12/22,30,1,3200,2020/10/3
V1006262,ノイフフ,サマユム,3,岩手県,1999/2/28,22,2,114300,2021/10/12
T1006389,クウメ,ヌクオオ,9,栃木県,1979/11/30,41,2,26868,2021/1/19
R1006445,ホヲナ,ソウホ,38,愛媛県,1978/8/25,43,1,36300,2020/11/20
W1006535,チホ,ヤオヌモ,6,山形県,1996/8/17,25,1,7500,2021/10/7
Y1006692,セモ,トエナ,2,青森県,1989/1/24,32,1,41500,2020/3/3
C1006766,ヒワウ,テスサ,40,福岡県,2000/8/22,21,1,91000,2021/5/14
C1006813,テマヒ,ヨノ,31,鳥取県,1954/6/4,67,2,19163,2021/9/5
L1006934,ワハウチ,クネモフ,35,山口県,1946/10/6,75,2,80200,2021/6/4
E1007096,ニスモ,ネヤヨイ,20,長野県,2006/10/21,15,1,44900,2021/2/4
C1007155,フマヘ,チカソハ,25,滋賀県,1993/6/12,28,2,26637,2021/8/8
I1007245,イアツ,テヘユ,5,秋田県,1938/5/11,83,2,13500,2020/9/2
V1007327,セオエヨ,ヌシ,19,山梨県,1937/3/17,84,1,11400,2021/6/29
G1007455,ソエミ,ソヘヲソ,11,埼玉県,1961/3/16,60,1,46500,2021/10/14
S1007580,ハセ,ハフキ,32,島根県,1933/12/29,87,2,49226,2020/5/23
S1007623,ホツ,チケチ,6,山形県,1960/11/29,60,2,22300,2020/7/23
V1007792,ンヌセ,アチ,38,愛媛県,1958/11/28,62,1,44600,2021/7/9
E1007862,コス,ノコ,22,静岡県,1964/9/29,57,2,17000,2021/5/8
I1007950,オテソシ,ヤツ,46,鹿児島県,1949/10/5,72,2,53000,2020/8/26
Q1008051,イテキカ,ナホ,32,島根県,1996/9/27,25,2,46400,2021/8/13
F1008174,サイヘエ,ノハ,39,高知県,2004/9/20,17,1,52377,2021/5/27
F1008222,サハフヲ,メフエ,24,三重県,1931/1/8,90,1,39100,2020/11/5
H1008341,ソフアマ,クユフ,36,徳島県,1944/3/14,77,2,80500,2021/9/10
U1008475,ヌアイ,ノネコ,16,富山県,1937/8/1,84,2,1968,2019/3/26
A1008517,ミシ,ネコヤヒ,14,神奈川県,1989/5/2,32,1,31800,2021/8/5
G1008634,ヒサ,ケサ,39,高知県,1956/9/6,65,1,47900,2021/7/27
B1008747,ナエサセ,ヲムヌ,28,兵庫県,1986/2/19,35,2,2900,2021/7/28
B1008890,センヒヤ,カヌアヌ,3,岩手県,1970/1/25,51,1,28140,2021/6/6
L1008959,チメ,シネミ,38,愛媛県,1928/3/27,93,2,30782,2021/10/22
R1009070,ヲソ,ソセヌモ,4,宮城県,2002/4/10,19,2,40900,2020/9/2
E1009134,モキ,オホソ,15,新潟県,1994/10/21,27,2,20900,2021/5/11
H1009264,ウトシホ,フヨ,37,香川県,1937/5/27,84,1,39400,2021/10/9
X1009329,ソタ,ヘヨフ,10,群馬県,1944/1/26,77,2,39500,2021/4/6
V1009466,マツサイ,ミヒアエ,21,岐阜県,1958/10/27,63,2,31032,2021/3/28
O1009543,フテハケ,イアオマ,41,佐賀県,1971/5/1,50,2,57000,2021/5/4
W1009668,ツユイキ,ノテ,21,岐阜県,1933/8/23,88,1,7700,2019/9/18
B1009775,フモネ,ヨオオ,10,群馬県,1933/3/1,88,2,5100,2020/7/26
S1009851,サヲン,チムム,45,宮崎県,1977/10/27,44,2,12900,2020/5/12
T1009996,ヤスク,コスタテ,4,宮城県,2005/9/20,16,2,46900,2021/9/7
H1010045,カヨ,ヌクノホ,17,石川県,1923/2/3,98,1,50000,2021/6/13
Y1010131,イフ,ツハ,17,石川県,1994/3/30,27,2,32757,2021/4/25
A1010238,メマユ,ステユ,20,長野県,1977/6/21,44,2,40400,2021/4/22
G1010344,マオ,サワ,27,大阪府,1923/5/28,98,1,22137,2021/7/30
T1010494,チヒ,ムメワ,22,静岡県,1967/9/14,54,1,32400,2020/12/31
M1010575,クサ,ンウモ,28,兵庫県,1930/6/23,91,1,82600,2021/3/31
